Player,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,G+A,Goal Contributions Per 90
Rúben Dias,pt POR,DF,Manchester City,26,24,"2,141",2,0,2,0.084072863
Tyler Dibling,eng ENG,MF,Everton,14,4,358,0,0,0,0
Lucas Digne,fr FRA,DF,Aston Villa,31,21,"1,852",0,6,6,0.291576674
Issa Diop,ma MAR,DF,Fulham,13,8,816,1,0,1,0.110294118
El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham,32,30,"2,707",0,5,5,0.166235685
Axel Disasi,fr FRA,DF,West Ham,14,14,"1,254",0,0,0,0
Matt Doherty,ie IRL,"DF,MF",Wolves,11,11,787,0,0,0,0
Jeremy Doku,be BEL,"MF,FW",Manchester City,30,19,"1,784",5,5,10,0.504484305
Nicolás Domínguez,ar ARG,MF,Nottingham,27,17,"1,175",1,1,2,0.153191489
Gianluigi Donnarumma,it ITA,GK,Manchester City,34,34,"3,060",0,0,0,0
Romelle Donovan,eng ENG,FW,Brentford,4,0,41,0,0,0,0
Patrick Dorgu,dk DEN,MF,Manchester Utd,26,15,"1,449",4,4,8,0.49689441
Max Dowman,eng ENG,MF,Arsenal,6,1,157,1,0,1,0.573248408
Radu Drăgușin,ro ROU,DF,Tottenham,10,5,517,0,0,0,0
Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,2,0,9,0,0,0,0
Martin Dúbravka,sk SVK,GK,Burnley,35,35,"3,150",0,0,0,0
Lewis Dunk,eng ENG,DF,Brighton,33,31,"2,838",1,0,1,0.031712474
George Earthy,eng ENG,MF,West Ham,1,0,9,0,0,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,1,0,3,0,0,0,0
Tom Edozie,eng ENG,MF,Wolves,3,0,14,1,0,1,6.428571429
Alysson Edward,br BRA,MF,Aston Villa,3,0,49,0,0,0,0
Marcus Edwards,eng ENG,"MF,FW",Burnley,23,11,"1,067",1,3,4,0.337394564
Hjalmar Ekdal,se SWE,DF,Burnley,19,17,"1,539",0,0,0,0
Hugo Ekitike,fr FRA,FW,Liverpool,28,21,"1,803",11,4,15,0.74875208
Anthony Elanga,se SWE,"FW,MF",Newcastle,32,14,"1,319",0,1,1,0.06823351
Melker Ellborg,se SWE,GK,Sunderland,3,3,270,0,0,0,0
Harvey Elliott,eng ENG,MF,Aston Villa,4,1,112,0,0,0,0
Harvey Elliott,eng ENG,"FW,MF",Liverpool,1,0,1,0,0,0,0
Wataru Endo,jp JPN,DF,Liverpool,8,1,175,0,1,1,0.514285714
Romain Esse,eng ENG,MF,Crystal Palace,4,0,44,0,0,0,0
Dario Essugo,pt POR,MF,Chelsea,3,0,30,0,0,0,0
Maxime Estève,fr FRA,DF,Burnley,34,34,"2,932",0,0,0,0
Evanilson,br BRA,FW,Bournemouth,36,32,"2,742",6,1,7,0.2297593
Eberechi Eze,eng ENG,MF,Crystal Palace,1,1,83,0,0,0,0
Eberechi Eze,eng ENG,"MF,FW",Arsenal,32,21,"1,812",7,2,9,0.447019868
Bruno Fernandes,pt POR,MF,Manchester Utd,35,35,"3,063",9,21,30,0.881488737
Mateus Fernandes,pt POR,MF,West Ham,36,35,"3,016",3,4,7,0.208885942
Enzo Fernández,ar ARG,MF,Chelsea,36,35,"3,115",10,4,14,0.404494382
Zian Flemming,nl NED,FW,Burnley,29,21,"1,769",11,0,11,0.559638214
Jack Fletcher,eng ENG,MF,Manchester Utd,3,0,108,0,0,0,0
Tyler Fletcher,sct SCO,MF,Manchester Utd,2,0,18,0,0,0,0
Phil Foden,eng ENG,MF,Manchester City,33,23,"2,086",7,5,12,0.517737296
Wesley Fofana,fr FRA,DF,Chelsea,25,20,"1,722",0,1,1,0.052264808
Lyle Foster,za RSA,"FW,MF",Burnley,26,15,"1,371",3,2,5,0.328227571
Tyler Fredricson,eng ENG,DF,Manchester Utd,1,0,3,0,0,0,0
Jeremie Frimpong,nl NED,"DF,MF",Liverpool,21,12,"1,040",0,1,1,0.086538462
Niclas Füllkrug,de GER,FW,West Ham,8,5,409,0,0,0,0
Kaye Furo,be BEL,FW,Brentford,1,0,1,0,0,0,0
Cody Gakpo,nl NED,"MF,FW",Liverpool,36,32,"2,737",7,5,12,0.39459262
Conor Gallagher,eng ENG,MF,Tottenham,16,14,"1,184",1,1,2,0.152027027
Ben Gannon-Doak,sct SCO,MF,Bournemouth,8,0,113,0,1,1,0.796460177
Andrés García,es ESP,DF,Aston Villa,6,1,86,0,0,0,0
Alejandro Garnacho,ar ARG,MF,Chelsea,24,14,"1,268",1,4,5,0.35488959
James Garner,eng ENG,"MF,DF",Everton,38,38,"3,413",2,7,9,0.237327864
Lutsharel Geertruida,nl NED,"DF,MF",Sunderland,28,17,"1,693",0,0,0,0
Tyrique George,eng ENG,FW,Chelsea,4,0,145,0,0,0,0
Tyrique George,eng ENG,MF,Everton,11,1,218,0,0,0,0
Morgan Gibbs-White,eng ENG,MF,Nottingham,37,35,"3,097",15,4,19,0.552147239
Jamie Gittens,eng ENG,MF,Chelsea,16,5,495,0,2,2,0.363636364
Wilfried Gnonto,it ITA,FW,Leeds United,23,4,537,0,1,1,0.167597765
Angel Gomes,eng ENG,"MF,FW",Wolves,12,7,461,0,0,0,0
João Gomes,br BRA,MF,Wolves,35,32,"2,829",1,1,2,0.063626723
Rodrigo Gomes,pt POR,"MF,FW",Wolves,22,9,960,3,0,3,0.28125
Toti Gomes,pt POR,DF,Wolves,19,17,"1,424",0,0,0,0
Diego Gómez,py PAR,"MF,FW",Brighton,32,26,"2,120",5,1,6,0.254716981
Joe Gomez,eng ENG,DF,Liverpool,21,7,607,0,2,2,0.296540362
Nicolás González,es ESP,MF,Manchester City,25,17,"1,569",1,0,1,0.057361377
Anthony Gordon,eng ENG,FW,Newcastle,26,24,"1,795",6,2,8,0.401114206
Ryan Gravenberch,nl NED,MF,Liverpool,36,34,"2,992",5,3,8,0.240641711
Archie Gray,eng ENG,"MF,DF",Tottenham,24,18,"1,478",2,2,4,0.243572395
Jack Grealish,eng ENG,MF,Everton,20,18,"1,627",2,6,8,0.442532268
Pascal Groß,de GER,MF,Brighton,19,18,"1,636",1,3,4,0.2200489
Brajan Gruda,de GER,MF,Brighton,18,8,719,1,1,2,0.250347705
Ilia Gruev,bg BUL,MF,Leeds United,23,15,"1,323",0,3,3,0.204081633
Gabriel Gudmundsson,se SWE,"DF,MF",Leeds United,32,31,"2,631",0,0,0,0
Marc Guéhi,eng ENG,DF,Crystal Palace,20,20,"1,800",2,2,4,0.2
Marc Guéhi,eng ENG,DF,Manchester City,15,15,"1,350",1,1,2,0.133333333
Evann Guessand,ci CIV,MF,Aston Villa,13,6,588,0,1,1,0.153061224
Evann Guessand,ci CIV,MF,Crystal Palace,8,3,330,1,1,2,0.545454545
Idrissa Gueye,sn SEN,MF,Everton,25,25,"2,093",2,3,5,0.215002389
Luis Guilherme,br BRA,FW,West Ham,5,1,125,0,0,0,0
Bruno Guimarães,br BRA,MF,Newcastle,29,27,"2,453",9,5,14,0.513656747
Marc Guiu,es ESP,FW,Sunderland,2,0,15,0,0,0,0
Marc Guiu,es ESP,FW,Chelsea,8,1,257,0,1,1,0.350194553
Angus Gunn,sct SCO,GK,Nottingham,1,0,45,0,0,0,0
Malo Gusto,fr FRA,"DF,MF",Chelsea,34,26,"2,261",2,3,5,0.199026979
Joško Gvardiol,hr CRO,DF,Manchester City,18,16,"1,372",2,2,4,0.262390671
Viktor Gyökeres,se SWE,FW,Arsenal,36,26,"2,224",14,1,15,0.607014388
Erling Haaland,no NOR,FW,Manchester City,35,34,"2,953",27,8,35,1.066711818
Lewis Hall,eng ENG,DF,Newcastle,30,24,"2,181",1,1,2,0.082530949
Jack Harrison,eng ENG,FW,Leeds United,11,1,269,0,0,0,0
Quilindschy Hartman,nl NED,DF,Burnley,21,21,"1,825",0,5,5,0.246575342
Jorrel Hato,nl NED,DF,Chelsea,22,12,"1,148",0,0,0,0
Kai Havertz,de GER,"FW,MF",Arsenal,12,7,581,2,3,5,0.774526678
Ayden Heaven,eng ENG,DF,Manchester Utd,17,11,924,0,1,1,0.097402597
Jan Paul van Hecke,nl NED,DF,Brighton,36,36,"3,210",3,3,6,0.168224299
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,18,"1,446",2,2,4,0.248962656
George Hemmings,eng ENG,MF,Aston Villa,2,0,27,0,0,0,0
Dean Henderson,eng ENG,GK,Crystal Palace,37,37,"3,330",0,0,0,0
Jordan Henderson,eng ENG,MF,Brentford,32,22,"1,919",1,3,4,0.187597707
Rico Henry,jm JAM,DF,Brentford,25,14,"1,328",0,1,1,0.067771084
Mads Hermansen,dk DEN,GK,West Ham,18,18,"1,620",0,1,1,0.055555556
Aaron Hickey,sct SCO,"DF,MF",Brentford,21,8,691,0,0,0,0
James Hill,eng ENG,DF,Bournemouth,29,22,"2,106",0,3,3,0.128205128
Piero Hincapié,ec ECU,DF,Arsenal,25,20,"1,792",1,2,3,0.150669643
Jack Hinshelwood,eng ENG,MF,Brighton,27,20,"1,741",4,3,7,0.361860999
Ki-Jana Hoever,nl NED,"MF,DF",Wolves,8,6,425,0,0,0,0
Harry Howell,eng ENG,MF,Brighton,3,1,94,0,0,0,0
Callum Hudson-Odoi,eng ENG,MF,Nottingham,30,21,"1,841",3,4,7,0.342205323
Will Hughes,eng ENG,MF,Crystal Palace,31,19,"1,571",0,0,0,0
Trai Hume,nir NIR,"DF,MF",Sunderland,38,34,"3,036",2,1,3,0.088932806
Bashir Humphreys,eng ENG,"DF,MF",Burnley,20,17,"1,578",0,0,0,0
Omari Hutchinson,eng ENG,MF,Nottingham,31,17,"1,688",1,5,6,0.319905213
Igor,br BRA,DF,West Ham,4,1,105,0,0,0,0
Tim Iroegbunam,eng ENG,MF,Everton,29,17,"1,487",0,2,2,0.121049092
Andy Irving,sct SCO,MF,West Ham,7,2,158,0,0,0,0
Alexander Isak,se SWE,FW,Liverpool,14,8,699,3,1,4,0.515021459
Wilson Isidor,ht HAI,FW,Sunderland,32,11,"1,165",6,0,6,0.463519313
Alex Iwobi,ng NGA,MF,Fulham,29,29,"2,419",4,3,7,0.260438198
Daniel James,wls WAL,"FW,MF",Leeds United,19,6,559,0,0,0,0
Reece James,eng ENG,"DF,MF",Chelsea,29,20,"1,963",2,4,6,0.275089149
Vitaly Janelt,de GER,MF,Brentford,25,15,"1,443",1,4,5,0.311850312
Mathias Jensen,dk DEN,MF,Brentford,36,26,"2,247",3,1,4,0.160213618
Gabriel Jesus,br BRA,FW,Arsenal,14,3,429,3,0,3,0.629370629
Igor Jesus,br BRA,FW,Nottingham,37,28,"2,298",6,4,10,0.391644909
Álex Jiménez,es ESP,"DF,MF",Bournemouth,31,26,"2,317",1,0,1,0.038843332
Raúl Jiménez,mx MEX,FW,Fulham,36,27,"2,189",9,3,12,0.493375971
Jamaldeen Jimoh,eng ENG,MF,Aston Villa,1,0,9,0,0,0,0
João Pedro,br BRA,"FW,MF",Chelsea,35,31,"2,661",15,5,20,0.67643743
Joelinton,br BRA,MF,Newcastle,27,23,"1,951",2,1,3,0.138390569
John,br BRA,GK,Nottingham,5,5,437,0,0,0,0
Brennan Johnson,wls WAL,"MF,FW",Tottenham,16,6,610,2,0,2,0.295081967
Brennan Johnson,wls WAL,"MF,FW",Crystal Palace,18,13,"1,112",0,1,1,0.080935252
Sam Johnstone,eng ENG,GK,Wolves,12,12,"1,080",0,0,0,0
Curtis Jones,eng ENG,"MF,DF",Liverpool,34,18,"1,937",1,2,3,0.139390811
Eli Junior Kroupi,fr FRA,"MF,FW",Bournemouth,33,21,"1,672",13,0,13,0.699760766
Hamed Junior Traorè,ci CIV,MF,Bournemouth,1,0,17,0,1,1,5.294117647
James Justin,eng ENG,"DF,MF",Leeds United,29,21,"1,901",2,1,3,0.14203051
Filip Jørgensen,dk DEN,GK,Chelsea,5,3,379,0,0,0,0
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,37,34,"3,133",1,0,1,0.02872646
Saša Kalajdžić,at AUT,"FW,MF",Wolves,1,0,15,0,0,0,0
Arnaud Kalimuendo,fr FRA,FW,Nottingham,9,0,96,0,0,0,0
Daichi Kamada,jp JPN,MF,Crystal Palace,28,22,"1,902",0,0,0,0
Boubacar Kamara,fr FRA,MF,Aston Villa,18,17,"1,411",1,3,4,0.2551382
Mohamadou Kanté,fr FRA,MF,West Ham,11,0,75,0,0,0,0
Michael Kayode,it ITA,DF,Brentford,37,37,"3,258",1,1,2,0.055248619
Michael Keane,eng ENG,DF,Everton,33,29,"2,591",3,1,4,0.138942493
Caoimhín Kelleher,ie IRL,GK,Brentford,37,37,"3,330",0,0,0,0
Milos Kerkez,hu HUN,DF,Liverpool,34,27,"2,257",2,1,3,0.119627825
Kevin,br BRA,MF,Fulham,26,9,"1,041",1,1,2,0.172910663
Abdukodir Khusanov,uz UZB,DF,Manchester City,21,15,"1,432",0,0,0,0
Max Kilman,eng ENG,DF,West Ham,21,17,"1,561",0,0,0,0
Joshua King,eng ENG,MF,Fulham,32,15,"1,308",1,2,3,0.206422018
Antonín Kinský,cz CZE,GK,Tottenham,7,7,630,0,0,0,0
Justin Kluivert,nl NED,MF,Bournemouth,20,10,952,2,0,2,0.18907563
Joe Knight,eng ENG,MF,Brighton,1,0,1,0,0,0,0
Randal Kolo Muani,fr FRA,"FW,MF",Tottenham,30,21,"1,664",1,1,2,0.108173077
Ibrahima Konaté,fr FRA,DF,Liverpool,36,36,"3,090",1,0,1,0.029126214
Ezri Konsa,eng ENG,DF,Aston Villa,34,34,"3,035",0,0,0,0
Charalampos Kostoulas,gr GRE,FW,Brighton,21,2,369,2,1,3,0.731707317
Mateo Kovačić,hr CRO,MF,Manchester City,6,1,130,0,1,1,0.692307692
Emil Krafth,se SWE,DF,Newcastle,1,1,45,0,0,0,0
Ladislav Krejčí,cz CZE,"DF,MF",Wolves,28,27,"2,356",2,1,3,0.114601019
Mohammed Kudus,gh GHA,"MF,FW",Tottenham,19,19,"1,535",2,5,7,0.410423453
Jonah Kusi-Asare,se SWE,FW,Fulham,7,0,55,0,0,0,0
Shea Lacey,eng ENG,FW,Manchester Utd,3,0,43,0,0,0,0
Maxence Lacroix,fr FRA,DF,Crystal Palace,35,35,"3,085",1,2,3,0.087520259
Senne Lammens,be BEL,GK,Manchester Utd,32,32,"2,880",0,0,0,0
Jamaal Lascelles,eng ENG,DF,Newcastle,2,0,21,0,0,0,0
Josh Laurent,eng ENG,"DF,MF",Burnley,33,18,"1,764",1,0,1,0.051020408
Roméo Lavia,be BEL,MF,Chelsea,12,4,382,0,0,0,0
Enzo Le Fée,fr FRA,"MF,FW",Sunderland,36,33,"2,930",5,6,11,0.337883959
Bernd Leno,de GER,GK,Fulham,38,38,"3,420",0,0,0,0
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,31,18,"1,733",0,2,2,0.103866128
Rico Lewis,eng ENG,DF,Manchester City,11,4,407,0,1,1,0.221130221
Keane Lewis-Potter,eng ENG,"DF,MF",Brentford,36,22,"1,972",3,3,6,0.273833671
Myles Lewis-Skelly,eng ENG,"MF,DF",Arsenal,20,5,709,0,0,0,0
Matthijs de Ligt,nl NED,DF,Manchester Utd,13,13,"1,170",1,0,1,0.076923077
Pedro Lima,br BRA,MF,Wolves,9,3,260,0,0,0,0
Victor Lindelöf,se SWE,"DF,MF",Aston Villa,17,11,948,0,1,1,0.094936709
Tino Livramento,eng ENG,DF,Newcastle,17,14,"1,328",0,1,1,0.067771084
Sean Longstaff,eng ENG,MF,Leeds United,23,10,"1,011",2,2,4,0.356083086
Fer López,es ESP,MF,Wolves,9,2,235,0,1,1,0.382978723
Lucas,br BRA,"MF,DF",Burnley,20,15,"1,409",0,0,0,0
Lorenzo Lucca,it ITA,FW,Nottingham,4,1,129,1,0,1,0.697674419
Florentino Luís,pt POR,MF,Burnley,31,25,"2,105",0,2,2,0.085510689
Douglas Luiz,br BRA,MF,Aston Villa,13,7,604,1,0,1,0.149006623
Douglas Luiz,br BRA,MF,Nottingham,8,5,315,0,0,0,0
Saša Lukić,rs SRB,MF,Fulham,26,20,"1,734",1,2,3,0.155709343
Ian Maatsen,nl NED,DF,Aston Villa,30,17,"1,605",0,1,1,0.056074766
Alexis Mac Allister,ar ARG,MF,Liverpool,37,31,"2,658",2,4,6,0.203160271
James Maddison,eng ENG,"FW,MF",Tottenham,3,0,37,0,0,0,0
Noni Madueke,eng ENG,"FW,MF",Arsenal,26,16,"1,211",3,1,4,0.297274979
Gabriel Magalhães,br BRA,DF,Arsenal,32,30,"2,751",3,4,7,0.229007634
Soungoutou Magassa,fr FRA,MF,West Ham,22,11,981,1,0,1,0.091743119
Harry Maguire,eng ENG,DF,Manchester Utd,23,19,"1,653",1,2,3,0.163339383
Kobbie Mainoo,eng ENG,MF,Manchester Utd,28,16,"1,662",1,2,3,0.162454874
Tyrell Malacia,nl NED,DF,Manchester Utd,3,0,18,0,0,0,0
Donyell Malen,nl NED,"FW,MF",Aston Villa,21,5,656,4,1,5,0.68597561
Giorgi Mamardashvili,ge GEO,GK,Liverpool,10,10,867,0,0,0,0
Reinildo Mandava,mz MOZ,DF,Sunderland,25,23,"1,966",0,1,1,0.04577823
Mateus Mane,pt POR,MF,Wolves,27,19,"1,795",3,1,4,0.200557103
Bendito Mantato,eng ENG,MF,Manchester Utd,1,0,16,0,0,0,0
Solly March,eng ENG,MF,Brighton,4,0,41,0,0,0,0
Omar Marmoush,eg EGY,"FW,MF",Manchester City,21,8,700,3,3,6,0.771428571
Callum Marshall,nir NIR,FW,West Ham,2,0,60,0,0,0,0
Gabriel Martinelli,br BRA,"FW,MF",Arsenal,30,11,"1,081",1,4,5,0.416281221
Emiliano Martínez,ar ARG,GK,Aston Villa,32,32,"2,835",0,1,1,0.031746032
Lisandro Martínez,ar ARG,DF,Manchester Utd,18,13,"1,233",0,0,0,0
Arthur Masuaku,cd COD,DF,Sunderland,3,2,126,0,0,0,0
Pape Matar Sarr,sn SEN,MF,Tottenham,26,13,"1,398",2,4,6,0.386266094
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,32,25,"2,218",12,0,12,0.486925158
Konstantinos Mavropanos,gr GRE,DF,West Ham,31,27,"2,534",3,0,3,0.106550908
Eliezer Mayenda,es ESP,"FW,MF",Sunderland,20,8,759,2,0,2,0.23715415
Ezra Mayers,bb BRB,DF,West Ham,6,0,117,0,0,0,0
Noussair Mazraoui,ma MAR,"DF,MF",Manchester Utd,20,11,985,0,0,0,0
Bryan Mbeumo,cm CMR,"MF,FW",Manchester Utd,33,31,"2,609",11,3,14,0.482943657
James Mcatee,eng ENG,MF,Nottingham,14,2,298,0,1,1,0.302013423
John McGinn,sct SCO,MF,Aston Villa,30,28,"2,137",5,4,9,0.379036032
Dwight McNeil,eng ENG,MF,Everton,22,14,"1,168",0,1,1,0.077054795
Hannibal Mejbri,tn TUN,MF,Burnley,27,15,"1,229",1,4,5,0.366151343
Mikel Merino,es ESP,"MF,FW",Arsenal,22,10,"1,036",4,3,7,0.608108108
Shumaira Mheuka,eng ENG,FW,Chelsea,1,0,2,0,0,0,0
Antoni Milambo,nl NED,MF,Brentford,1,1,45,0,0,0,0
Nikola Milenković,rs SRB,DF,Nottingham,38,37,"3,375",0,0,0,0
Lewis Miley,eng ENG,"MF,DF",Newcastle,23,15,"1,496",1,4,5,0.300802139
James Milner,eng ENG,MF,Brighton,20,7,784,1,1,2,0.229591837
Veljko Milosavljević,rs SRB,DF,Bournemouth,7,4,368,0,0,0,0
Tyrone Mings,eng ENG,DF,Aston Villa,17,15,"1,324",0,0,0,0
Yankuba Minteh,gm GAM,MF,Brighton,34,26,"2,391",3,4,7,0.26348808
Tyrick Mitchell,eng ENG,MF,Crystal Palace,38,36,"3,251",1,2,3,0.083051369
Kaoru Mitoma,jp JPN,"MF,FW",Brighton,25,19,"1,721",3,1,4,0.209180709
Morato,br BRA,DF,Nottingham,21,14,"1,345",1,0,1,0.066914498
Cristhian Mosquera,es ESP,DF,Arsenal,20,9,994,0,0,0,0
Yerson Mosquera,co COL,DF,Wolves,27,24,"2,136",0,0,0,0
Mason Mount,eng ENG,MF,Manchester Utd,23,12,"1,017",3,0,3,0.265486726
Divine Mukasa,eng ENG,MF,Manchester City,2,0,27,0,0,0,0
Nordi Mukiele,fr FRA,DF,Sunderland,32,32,"2,784",3,3,6,0.193965517
Romaine Mundle,eng ENG,MF,Sunderland,14,2,411,0,0,0,0
Marshall Munetsi,zw ZIM,"MF,FW",Wolves,13,9,875,1,1,2,0.205714286
Rodrigo Muniz,br BRA,FW,Fulham,21,10,"1,000",1,1,2,0.18
Daniel Muñoz,co COL,MF,Crystal Palace,29,29,"2,399",4,3,7,0.262609421
Murillo,br BRA,DF,Nottingham,25,25,"2,130",1,0,1,0.042253521
